販売日,販売先の国,エンジンモデル,販売数量,販売金額 (USD),用途,カスタマイズ内容,顧客評価
2024-04-15,タイ,OraBooster,2,"200,000,000",月探査,推力向上,高い信頼性と性能に満足
2024-07-15,スウェーデン,OraBooster,3,"300,000,000",衛星インターネット,小型軽量化,衛星打ち上げコストの削減に貢献
2024-08-01,フランス,OraBooster-light,5,"375,000,000",スターシップ用,再利用性向上,既存のエンジンとの互換性が高い
2024-08-05,インドネシア,OraBooster,2,"200,000,000",木星探査,耐放射線性強化,深宇宙探査に必要な耐久性がある
2024-10-10,アメリカ,OraBooster-plus,10,"2,000,000,000",火星探査,小型化、高比推力,深宇宙探査に最適
2024-11-13,インド,OraBooster-plus,8,"1,600,000,000",衛星コンステレーション,高頻度打ち上げ対応,短期間での大量打ち上げが可能
2024-11-17,パキスタン,OraBooster-plus,6,"1,200,000,000",小惑星サンプルリターン,高精度姿勢制御,繊細なミッションに適している
2024-12-04,日本,OraBooster,3,"300,000,000",月面基地建設,低温環境対応,極寒環境での運用に適している
2024-12-10,中国,OraBooster-light,8,"600,000,000",スターシップ用 (追加),再利用性向上 (改良),さらに高い信頼性と耐久性
2024-12-21,日本,OraBooster-light,3,"225,000,000",火星探査,低コスト化,経済的な宇宙探査を実現
